ID, station, date, enter_00, exit00, enter_01, exit01, enter_02, exit02, enter_03, exit03, enter_04, exit04, enter_05, exit05, enter_06, exit06, enter_07, exit07, enter_08, exit08, enter_09, exit09, enter_010, exit010, enter_011, exit011, enter_012, exit012, enter_013, exit013, enter_014, exit014, enter_015, exit015, enter_016, exit016, enter_017, exit017, enter_018, exit018, enter_019, exit019, enter_020, exit020, enter_021, exit021, enter_022, exit022, enter_023, exit023,station_latitute,station_longitude
BMTJZCRESCENTST,CRESCENT ST,5/1/11,153.5,483.5,0,0,0,0,0,0,0,0,36.5,110,36.5,110,36.5,110,36.5,110,216,144.5,216,144.5,216,144.5,216,144.5,285.5,297.75,285.5,297.75,285.5,297.75,285.5,297.75,232.25,421.75,232.25,421.75,232.25,421.75,232.25,421.75,153.5,483.5,153.5,483.5,153.5,483.5,40.683194,-73.873785
BMTJZELDERTSLANE-75THST,ELDERTS LANE-75TH ST,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.691324,-73.867139
BMTJZGATESAV,GATES AV,5/1/11,164.75,117.5,0,0,0,0,0,0,0,0,24.25,35.5,24.25,35.5,24.25,35.5,24.25,35.5,106.75,27.5,106.75,27.5,106.75,27.5,106.75,27.5,195.25,62,195.25,62,195.25,62,195.25,62,237.25,92.5,237.25,92.5,237.25,92.5,237.25,92.5,164.75,117.5,164.75,117.5,164.75,117.5,40.68963,-73.92227
BMTJZNORWOODAV,NORWOOD AV,5/1/11,68,128.5,0,0,0,0,0,0,0,0,15.5,31.5,15.5,31.5,15.5,31.5,15.5,31.5,76.25,30.5,76.25,30.5,76.25,30.5,76.25,30.5,86.75,52.5,86.75,52.5,86.75,52.5,86.75,52.5,100,95.25,100,95.25,100,95.25,100,95.25,68,128.5,68,128.5,68,128.5,40.68141,-73.880039
BMTJZVANSICLENAV,VAN SICLEN AV,5/1/11,66,112.25,0,0,0,0,0,0,0,0,14.25,34,14.25,34,14.25,34,14.25,34,56,22.25,56,22.25,56,22.25,56,22.25,93.5,57.25,93.5,57.25,93.5,57.25,93.5,57.25,91.5,92,91.5,92,91.5,92,91.5,92,66,112.25,66,112.25,66,112.25,40.678024,-73.891688
BMTJZWOODHAVENBLVD,WOODHAVEN BLVD,5/1/11,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0,3.5,0,3.5,0,3.5,0,3.5,1,1.5,1,1.5,1,1.5,1,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,40.693879,-73.851576
BMTL1STAV,1ST AV,5/1/11,0,0,0,0,0,0,0,0,1073,826.5,1073,826.5,1073,826.5,1073,826.5,0,0,0,0,0,0,0,0,1354,1519,1354,1519,1354,1519,1354,1519,1803,2051.5,1803,2051.5,1803,2051.5,1803,2051.5,1835.5,2474,1835.5,2474,1835.5,2474,1835.5,2474,40.730953,-73.981628
BMTL3RDAV,3RD AV,5/1/11,0,0,0,0,0,0,0,0,379.5,303,379.5,303,379.5,303,379.5,303,22,12.5,22,12.5,22,12.5,22,12.5,242.5,543.5,242.5,543.5,242.5,543.5,242.5,543.5,531.5,657.5,531.5,657.5,531.5,657.5,531.5,657.5,720,707.5,720,707.5,720,707.5,720,707.5,40.732849,-73.986122
BMTLATLANTICAV,ATLANTIC AV,5/1/11,0,0,0,0,0,0,0,0,7.25,7.75,7.25,7.75,7.25,7.75,7.25,7.75,0,0,0,0,0,0,0,0,43.75,13.75,43.75,13.75,43.75,13.75,43.75,13.75,45,14.75,45,14.75,45,14.75,45,14.75,38.5,16,38.5,16,38.5,16,38.5,16,40.675345,-73.903097
BMTLBEDFORDAV,BEDFORD AV,5/1/11,0,0,0,0,0,0,0,0,815.75,486.25,815.75,486.25,815.75,486.25,815.75,486.25,34.75,8.5,34.75,8.5,34.75,8.5,34.75,8.5,829.75,541.5,829.75,541.5,829.75,541.5,829.75,541.5,1576.5,1401.75,1576.5,1401.75,1576.5,1401.75,1576.5,1401.75,1635.5,1182.75,1635.5,1182.75,1635.5,1182.75,1635.5,1182.75,40.717304,-73.956872
