Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Morningside Heights,75797,1083282.24,96350.75,0.0889,7
Flushing,1544,45982.5,3818.21,0.083,7
East Harlem,38604,504554.85,35786.46,0.0709,7
Mott Haven,2588,38001.03,1951.13,0.0513,7
Washington Heights,14775,297349.71,27272.9,0.0917,7
Carroll Gardens,21995,401366.16,42469.72,0.1058,7
Flatbush,27,441.49,53.83,0.1219,7
Laurelton,78,2260.09,144.15,0.0638,7
Canarsie,202,4046.47,193,0.0477,7
Tribeca,223666,3148839.05,312471.41,0.0992,7
The Rockaways,45,1313.74,117.58,0.0895,7
High Bridge,1078,20630.97,1301.53,0.0631,7
Midtown,2196283,26064751.71,2268335.49,0.087,7
Saintalbans,85,1348.01,105.77,0.0785,7
Queensboro Hill,127,2027.44,92.97,0.0459,7
Tremont,205,3056.96,198.37,0.0649,7
Bensonhurst,202,3518.45,299.98,0.0853,7
Carnegie Hill,119292,1412617.63,115203.33,0.0816,7
Douglastown-Little Neck,222,4466.54,209.15,0.0468,7
Murray Hill,459953,5357172.91,483907.72,0.0903,7
East Brooklyn,248,6058.46,413.54,0.0683,7
Nkew Gardens,1392,33094.46,2206.86,0.0667,7
Springfield Gardens,444,21707.59,1915.14,0.0882,7
Woodlawn-Nordwood,53,790.81,27.65,0.035,7
Hamilton Heights,22493,365562.64,30861.74,0.0844,7
Parkchester,328,4598.15,297.35,0.0647,7
Bedford-Stuyvesant,5629,86593.16,7230.61,0.0835,7
Morris Park,189,3581.45,278.37,0.0777,7
Sunset Park,654,11440.13,858.17,0.075,7
Woodside,10485,160416.29,8957.85,0.0558,7
Maspeth,1098,35898.97,2887.84,0.0804,7
Throggs Neck,92,1339.01,104.51,0.0781,7
North Sutton Area,137975,1583003.76,133828.91,0.0845,7
Soundview,228,3377.3,256.82,0.076,7
Glendale,139,2924.02,220.73,0.0755,7
Little Italy,122421,1591178.85,150069.47,0.0943,7
Riverdale,104,2174.05,107.59,0.0495,7
Fordham,119,2142.48,187.66,0.0876,7
Yorkville,96276,1214863.3,94500.3,0.0778,7
Kings Bridge,165,2933.98,143.43,0.0489,7
Spuyten Duyvil,67,1495.38,108.28,0.0724,7
Battery Park,112884,1857129.41,183966.65,0.0991,7
Financial District,276394,4660255.97,418154.94,0.0897,8
Williamsburg,62666,1005927.21,97899.19,0.0973,8
West Village,336280,4275753.9,408169.8,0.0955,8
Ridgewood,497,7938.61,555.31,0.07,8
Upper West Side,852828,10121535.8,887494.75,0.0877,8
Williams Bridge,33,530.37,12.71,0.024,8
Cobble Hill,7418,139195.36,14908.86,0.1071,8
Inwood,713,15969.11,1821,0.114,8
Queens Village,73,1028.76,35.1,0.0341,8
Auburndale,68,1467.55,157.73,0.1075,8
Jackson Heights,8196,162130.41,10267.82,0.0633,8
Bensonhurst,158,3221.8,178.92,0.0555,8
University Heights,117,1926.09,90.78,0.0471,8
Greenwood,1752,31525.41,3104.41,0.0985,8
Wakefield-Williamsbridge,67,1887.43,104.45,0.0553,8
Park Slope,13272,210884.98,20192.82,0.0958,8
Chinatown,42813,602755.81,43026.93,0.0714,8
Corona,466,18624.85,1919.37,0.1031,8
South Bronx,605,8872.27,495.58,0.0559,8
Sunny Side,40311,690114.14,53097.09,0.0769,8
Soho,289376,3764255.06,352748.02,0.0937,8
Dyker Heights,104,2347.19,139.97,0.0596,8
Clearview,31,592.71,63.04,0.1064,8
Harlem,52276,735173.12,61784.23,0.084,8
Bay Ridge,508,9702.35,703.11,0.0725,8
Woodhaven-Richmond Hill,402,8535.88,466.99,0.0547,8
Jamaica,2660,138263.02,11174.23,0.0808,8
Bedford Park,114,2185.91,153.13,0.0701,8
East Village,430315,5508343.71,536758.7,0.0974,8
Hunts Point,105,1838.75,64.26,0.0349,8
Gravesend-Sheepshead Bay,420,8408.35,662.9,0.0788,8
Lower East Side,273737,3835564.7,357613.22,0.0932,8
Mapleton-Flatlands,1192,19540.67,1148.77,0.0588,8
Baychester,18,397.7,9.2,0.0231,8
Upper East Side,1419836,17270170.38,1439878.26,0.0834,8
Union Port,146,2380.58,83.4,0.035,8
Central Park,149017,1750754.76,138557.28,0.0791,8
Woodside,9448,144735.21,8332.13,0.0576,8
Greenwich Village,573647,6961166.21,643920,0.0925,8
Forest Hills,5115,107447.44,7708.68,0.0717,8
Middle Village,235,4079.83,219.38,0.0538,8
Downtown,29896,506056.73,46093.17,0.0911,8
Morris Heights,186,2809.51,148.18,0.0527,8
